id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2512.22031v1,From In Silico to In Vitro: Evaluating Molecule Generative Models for Hit Generation,"['Nagham Osman', 'Vittorio Lembo', 'Giovanni Bottegoni', 'Laura Toni']","Hit identification is a critical yet resource-intensive step in the drug discovery pipeline, traditionally relying on high-throughput screening of large compound libraries. Despite advancements in virtual screening, these methods remain time-consuming and costly. Recent progress in deep learning has enabled the development of generative models capable of learning complex molecular representations and generating novel compounds de novo. However, using ML to replace the entire drug-discovery pipeline is highly challenging. In this work, we rather investigate whether generative models can replace one step of the pipeline: hit-like molecule generation. To the best of our knowledge, this is the first study to explicitly frame hit-like molecule generation as a standalone task and empirically test whether generative models can directly support this stage of the drug discovery pipeline. Specifically, we investigate if such models can be trained to generate hit-like molecules, enabling direct incorporation into, or even substitution of, traditional hit identification workflows. We propose an evaluation framework tailored to this task, integrating physicochemical, structural, and bioactivity-related criteria within a multi-stage filtering pipeline that defines the hit-like chemical space. Two autoregressive and one diffusion-based generative models were benchmarked across various datasets and training settings, with outputs assessed using standard metrics and target-specific docking scores. Our results show that these models can generate valid, diverse, and biologically relevant compounds across multiple targets, with a few selected GSK-3$β$ hits synthesized and confirmed active in vitro. We also identify key limitations in current evaluation metrics and available training data.","['cs.LG', 'cs.AI']",2025-12-26T14:02:59+00:00,https://arxiv.org/pdf/2512.22031v1,arxiv://2512.22031v1,1,10
2512.12573v1,Quantum Encoding of Three-Dimensional Ligand Poses for Exhaustive Configuration Enumeration,['Pei-Kun Yang'],"Classical molecular docking is fundamentally constrained by the combinatorial growth of ligand translational and rotational degrees of freedom, rendering exhaustive pose enumeration infeasible on classical hardware. This work introduces a quantum-native formulation that encodes ligand occupancy on discretized three-dimensional grids and coherently generates the full ensemble of spatial configurations within a single quantum state. Multi-step translations and rotational transformations are controlled by ancillary qubits, enabling all symmetry-related configurations to be activated simultaneously. This framework provides a scalable foundation for quantum-accelerated virtual screening and is amenable to integration with quantum scoring approaches as quantum hardware continues to advance.",['quant-ph'],2025-12-14T06:39:21+00:00,https://arxiv.org/pdf/2512.12573v1,arxiv://2512.12573v1,2,10
2512.09566v3,"Toward Closed-loop Molecular Discovery via Language Model, Property Alignment and Strategic Search","['Junkai Ji', 'Zhangfan Yang', 'Dong Xu', 'Ruibin Bai', 'Jianqiang Li', 'Tingjun Hou', 'Zexuan Zhu']","Drug discovery is a time-consuming and expensive process, with traditional high-throughput and docking-based virtual screening hampered by low success rates and limited scalability. Recent advances in generative modelling, including autoregressive, diffusion, and flow-based approaches, have enabled de novo ligand design beyond the limits of enumerative screening. Yet these models often suffer from inadequate generalization, limited interpretability, and an overemphasis on binding affinity at the expense of key pharmacological properties, thereby restricting their translational utility. Here we present Trio, a molecular generation framework integrating fragment-based molecular language modeling, reinforcement learning, and Monte Carlo tree search, for effective and interpretable closed-loop targeted molecular design. Through the three key components, Trio enables context-aware fragment assembly, enforces physicochemical and synthetic feasibility, and guides a balanced search between the exploration of novel chemotypes and the exploitation of promising intermediates within protein binding pockets. Experimental results show that Trio reliably achieves chemically valid and pharmacologically enhanced ligands, outperforming state-of-the-art approaches with improved binding affinity (+7.85%), drug-likeness (+11.10%) and synthetic accessibility (+12.05%), while expanding molecular diversity more than fourfold. By combining generalization, plausibility, and interpretability, Trio establishes a closed-loop generative paradigm that redefines how chemical space can be navigated, offering a transformative foundation for the next era of AI-driven drug discovery.","['cs.AI', 'cs.LG']",2025-12-10T11:59:42+00:00,https://arxiv.org/pdf/2512.09566v3,arxiv://2512.09566v3,3,10
2512.05080v1,OMTRA: A Multi-Task Generative Model for Structure-Based Drug Design,"['Ian Dunn', 'Liv Toft', 'Tyler Katz', 'Juhi Gupta', 'Riya Shah', 'Ramith Hettiarachchi', 'David R. Koes']","Structure-based drug design (SBDD) focuses on designing small-molecule ligands that bind to specific protein pockets. Computational methods are integral in modern SBDD workflows and often make use of virtual screening methods via docking or pharmacophore search. Modern generative modeling approaches have focused on improving novel ligand discovery by enabling de novo design. In this work, we recognize that these tasks share a common structure and can therefore be represented as different instantiations of a consistent generative modeling framework. We propose a unified approach in OMTRA, a multi-modal flow matching model that flexibly performs many tasks relevant to SBDD, including some with no analogue in conventional workflows. Additionally, we curate a dataset of 500M 3D molecular conformers, complementing protein-ligand data and expanding the chemical diversity available for training. OMTRA obtains state of the art performance on pocket-conditioned de novo design and docking; however, the effects of large-scale pretraining and multi-task training are modest. All code, trained models, and dataset for reproducing this work are available at https://github.com/gnina/OMTRA",['cs.LG'],2025-12-04T18:46:35+00:00,https://arxiv.org/pdf/2512.05080v1,arxiv://2512.05080v1,4,10
2511.05904v1,The Role and Mechanism of Deep Statistical Machine Learning In Biological Target Screening and Immune Microenvironment Regulation of Asthma,['Pengwei Zhu'],"As an important source of small molecule drugs, natural products show remarkable biological activities with their rich types and unique structures. However, due to the limited number of samples and structural complexity, the rapid discovery of lead compounds is limited. Therefore, in this study, natural inhibitors of phosphodiesterase 4 (PDE4) and Phosphodiesterase 7 (PDE7) were screened by combining computer aided drug design (CADD) technology and deep learning method, and their activities were verified by enzyme activity experiment and enzymo-linked immunoassay. These two enzymes have important application potential in the treatment of inflammatory diseases such as chronic obstructive pulmonary disease and asthma, but PDE4 inhibitors may cause adverse reactions, so it is particularly important to develop both effective and safe dual-target inhibitors. In addition, as a potential target of hyperuricemia, the development of natural inhibitors of xanthine oxidase (X0) is also of great value. We used pharmacophore technology for virtual screening, combined with molecular docking technology to improve accuracy, and finally selected 16 potential natural inhibitors of PDE4/7, and verified their binding stability through molecular dynamics simulation. The results of this study laid a foundation for establishing an efficient dual-target inhibitor screening system and exploring the lead compounds of novel X0 inhibitors.","['cs.SI', 'physics.chem-ph']",2025-11-08T08:09:11+00:00,https://arxiv.org/pdf/2511.05904v1,arxiv://2511.05904v1,5,10
2510.24186v2,TRIDS: AI-native molecular docking framework for accelerating high-throughput virtual screening with physically valid binding poses,"['Xuhan Liu', 'Baohua Zhang', 'Yue Xue', 'Yize Hao', 'Tiejun Bing', 'Lili Chai', 'Tanfeng Zhao', 'Lijiang Yang', 'Hong Zhang', 'Yi Qin Gao']","Molecular docking is a cornerstone of drug discovery for unveiling the mechanism of ligand-receptor interactions. With the recent advances of deep learning (DL), AI-powered molecular docking methods have achieved higher accuracy for binding pose prediction and virtual screening compared with classical physics-based methods. However, there is still a scarcity of approaches to strike a balance among accuracy, computational efficiency, and rigorous physical validity of the output conformations. In the previous two versions of DSDP, we demonstrated the effectiveness of guiding conformation sampling with the gradient of an analytic scoring function. As the third version, TRIDS was devised as an AI-native docking framework that expand the similar strategy to unify conformation sampling and docking processes with DL-based model for improving accuracy of docking and screening. Furthermore, it is tailored for seamless cooperation of AI and physics to guarantee the physical validity of predicted binding poses. Being user-friendly, TRIDS predicts the binding site, parses multiple file formats, and supports Python programming and PyMOL graphical interaction. It improves docking accuracy and passes physical validation with high computational efficiency, i.e. a single docking task is done in a fraction of second while maintaining a highly lightweight GPU memory footprint of merely hundreds of megabytes, facilitating high-throughput virtual screening in reality. As a proof of concept, TRIDS allowed us to obtain hit compounds with novel scaffolds for tumor necrosis factor-alpha (TNFα) inhibitor through a large-scale virtual screening.","['physics.chem-ph', 'physics.comp-ph']",2025-10-28T08:46:21+00:00,https://arxiv.org/pdf/2510.24186v2,arxiv://2510.24186v2,6,10
2509.00937v1,Parallelizing Drug Discovery: HPC Pipelines for Alzheimer's Molecular Docking and Simulation,"['Paul Ruiz Alliata', 'Diana Rubaga', 'Daniel Kumlin', 'Alberto Puliga']","High-performance computing (HPC) is reshaping computational drug discovery by enabling large-scale, time-efficient molecular simulations. In this work, we explore HPC-driven pipelines for Alzheimer's disease drug discovery, focusing on virtual screening, molecular docking, and molecular dynamics simulations. We implemented a parallelised workflow using GROMACS with hybrid MPI-OpenMP strategies, benchmarking scaling performance across energy minimisation, equilibration, and production stages. Additionally, we developed a docking prototype that demonstrates significant runtime gains when moving from sequential execution to process-based parallelism using Python's multiprocessing library. Case studies on prolinamide derivatives and baicalein highlight the biological relevance of these workflows in targeting amyloid-beta and tau proteins. While limitations remain in data management, computational costs, and scaling efficiency, our results underline the potential of HPC to accelerate neurodegenerative drug discovery.",['cs.DC'],2025-08-31T17:12:18+00:00,https://arxiv.org/pdf/2509.00937v1,arxiv://2509.00937v1,7,10
2508.17555v1,Boltzina: Efficient and Accurate Virtual Screening via Docking-Guided Binding Prediction with Boltz-2,"['Kairi Furui', 'Masahito Ohue']","In structure-based drug discovery, virtual screening using conventional molecular docking methods can be performed rapidly but suffers from limitations in prediction accuracy. Recently, Boltz-2 was proposed, achieving extremely high accuracy in binding affinity prediction, but requiring approximately 20 seconds per compound per GPU, making it difficult to apply to large-scale screening of hundreds of thousands to millions of compounds. This study proposes Boltzina, a novel framework that leverages Boltz-2's high accuracy while significantly improving computational efficiency. Boltzina achieves both accuracy and speed by omitting the rate-limiting structure prediction from Boltz-2's architecture and directly predicting affinity from AutoDock Vina docking poses. We evaluate on eight assays from the MF-PCBA dataset and show that while Boltzina performs below Boltz-2, it provides significantly higher screening performance compared to AutoDock Vina and GNINA. Additionally, Boltzina achieved up to 11.8$\times$ faster through reduced recycling iterations and batch processing. Furthermore, we investigated multi-pose selection strategies and two-stage screening combining Boltzina and Boltz-2, presenting optimization methods for accuracy and efficiency according to application requirements. This study represents the first attempt to apply Boltz-2's high-accuracy predictions to practical-scale screening, offering a pipeline that combines both accuracy and efficiency in computational biology. The Boltzina is available on github; https://github.com/ohuelab/boltzina.","['q-bio.BM', 'cs.CE', 'cs.LG', 'q-bio.QM']",2025-08-24T23:40:10+00:00,https://arxiv.org/pdf/2508.17555v1,arxiv://2508.17555v1,8,10
2509.05302v1,Sesame: Opening the door to protein pockets,"['Raúl Miñán', 'Carles Perez-Lopez', 'Javier Iglesias', 'Álvaro Ciudad', 'Alexis Molina']","Molecular docking is a cornerstone of drug discovery, relying on high-resolution ligand-bound structures to achieve accurate predictions. However, obtaining these structures is often costly and time-intensive, limiting their availability. In contrast, ligand-free structures are more accessible but suffer from reduced docking performance due to pocket geometries being less suited for ligand accommodation in apo structures. Traditional methods for artificially inducing these conformations, such as molecular dynamics simulations, are computationally expensive. In this work, we introduce Sesame, a generative model designed to predict this conformational change efficiently. By generating geometries better suited for ligand accommodation at a fraction of the computational cost, Sesame aims to provide a scalable solution for improving virtual screening workflows.","['q-bio.BM', 'cs.AI']",2025-08-21T12:22:56+00:00,https://arxiv.org/pdf/2509.05302v1,arxiv://2509.05302v1,9,10
2508.10262v2,HelixVS: Deep Learning-Enhanced Structure-Based Platform for Screening and Design,"['Shanzhuo Zhang', 'Xianbin Ye', 'Donglong He', 'Yueyang Huang', 'Xiaonan Zhang', 'Xiaomin Fang']","Drug discovery through virtual screening (VS) has become a popular strategy for identifying hits against protein targets. Alongside VS, molecular design further expands accessible chemical space. Together, these approaches have the potential to reduce the cost and time needed for manual selection and wet-laboratory experiments, thereby accelerating drug discovery pipelines. Improving the cost-effectiveness of virtual screening is a significant challenge, aiming to explore larger compound libraries while maintaining lower screening costs. Here, we present HelixVS, a structure-based VS platform enhanced by deep learning models. HelixVS integrates a precise deep learning-based pose-scoring model and a pose-screening module into a multi-stage VS process, enabling more effective screening of active compounds. Compared to classic molecular docking tools like Vina, HelixVS demonstrated significantly improved screening performance across nearly a hundred targets, achieving an average 2.6-fold higher enrichment factor (EF) and more than 10 times faster screening speed. We applied HelixVS in four drug development pipelines, targeting both traditional competitive drug-binding pockets and novel protein-protein interaction interfaces. Wet-lab validations across these pipelines consistently identified active compounds, with over 10% of the molecules tested in wet labs demonstrating activity at uM or even nM levels. This demonstrates the ability of HelixVS to identify high-affinity ligands for various targets and pockets.In addition, the HelixVS platform has been extended with HelixVS-Syn, which enables design of novel compounds from reference scaffolds. These designed molecules are seamlessly integrated into the HelixVS screening workflow, allowing researchers to explore both existing chemical libraries and novel chemical space with high affinity, synthetic accessibility, and structural novelty.","['q-bio.BM', 'q-bio.QM']",2025-08-14T01:08:30+00:00,https://arxiv.org/pdf/2508.10262v2,arxiv://2508.10262v2,10,10
