id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2602.18476v1,BioLM-Score: Language-Prior Conditioned Probabilistic Geometric Potentials for Protein-Ligand Scoring,"['Zhangfan Yang', 'Baoyun Chen', 'Dong Xu', 'Jia Wang', 'Ruibin Bai', 'Junkai Ji', 'Zexuan Zhu']","Protein-ligand scoring is a central component of structure-based drug design, underpinning molecular docking, virtual screening, and pose optimization. Conventional physics-based energy functions are often computationally expensive, limiting their utility in large-scale screening. In contrast, deep learning-based scoring models offer improved computational efficiency but frequently suffer from limited cross-target generalization and poor interpretability, which restrict their practical applicability. Here we present BioLM-Score, a simple yet generalizable protein-ligand scoring model that couples geometric modeling with representation learning. Specifically, it employs modality-specific and structure-aware encoders for proteins and ligands, each augmented with biomolecular language models to enrich structural and chemical representations. Subsequently, these representations are integrated through a mixture density network to predict multimodal interatomic distance distributions, from which statistically grounded likelihood-based scores are derived. Evaluations on the CASF-2016 benchmark demonstrate that BioLM-Score achieves significant improvements across docking, scoring, ranking, and screening tasks. Moreover, the proposed scoring function serves as an effective optimization objective for guiding docking protocols and conformational search. In summary, BioLM-Score provides a principled and practical alternative to existing scoring functions, combining efficiency, generalization, and interpretability for structure-based drug discovery.","['q-bio.BM', 'cs.AI', 'cs.LG']",2026-02-09T12:31:49+00:00,https://arxiv.org/pdf/2602.18476v1,arxiv://2602.18476v1,1,15
2601.12268v1,Learning to Dock: Geometric Deep Learning for Predicting Supramolecular Host-Guest Complexes,"['Zidi Wang', 'Tao Zhang', 'Muyao Yu', 'Chuyi Zhou', 'Zezhao Xu', 'Huiyu Liu', 'Yuzhen Wen', 'Linjiang Chen', 'Jie Zheng', 'Shan Jiang']","Predicting non-covalent host-guest recognition remains challenging due to the complex interplay of electrostatics, dispersion, and steric effects, and the limited transferability of existing docking approaches to synthetic supramolecular systems. Here we present DeepHostGuest, a geometric deep-learning framework that learns generalizable recognition principles directly from experimentally resolved host-guest structures. Hosts are encoded as electrostatic surfaces and guests as molecular graphs, enabling transferable learning across diverse supramolecular systems. DeepHostGuest achieves high-accuracy predictions (RMSD $\leq 2$ Angstrom for 80.8% of test cases), substantially outperforming classical docking without case-specific tuning. Notably, the method generalizes beyond its training domain to crystalline sponge systems, accurately capturing the binding of large amphiphilic molecules within metal-organic cages. Beyond predicting binding conformations, the structures generated by DeepHostGuest serve as a reliable basis for accurate binding free-energy calculations. Density Functional Theory (DFT)-calculated affinities correlate well with experiment, enabling structure-property relationships across 876 host-guest complexes spanning 34 host families. Interpretable feature analysis reveals that binding strength arises from a cooperative interplay of host polarity, guest hydrophobicity, and geometric complementarity, with distinct design regimes across supramolecular classes. Together, these results establish data-driven molecular recognition as a practical route to predictive supramolecular design, enabling high-throughput virtual screening and rational optimization of functional host-guest systems.",['physics.chem-ph'],2026-01-18T05:26:15+00:00,https://arxiv.org/pdf/2601.12268v1,arxiv://2601.12268v1,2,15
2601.05792v1,Tensor-DTI: Enhancing Biomolecular Interaction Prediction with Contrastive Embedding Learning,"['Manel Gil-Sorribes', 'Júlia Vilalta-Mor', 'Isaac Filella-Mercè', 'Robert Soliva', 'Álvaro Ciudad', 'Víctor Guallar', 'Alexis Molina']","Accurate drug-target interaction (DTI) prediction is essential for computational drug discovery, yet existing models often rely on single-modality predefined molecular descriptors or sequence-based embeddings with limited representativeness. We propose Tensor-DTI, a contrastive learning framework that integrates multimodal embeddings from molecular graphs, protein language models, and binding-site predictions to improve interaction modeling. Tensor-DTI employs a siamese dual-encoder architecture, enabling it to capture both chemical and structural interaction features while distinguishing interacting from non-interacting pairs. Evaluations on multiple DTI benchmarks demonstrate that Tensor-DTI outperforms existing sequence-based and graph-based models. We also conduct large-scale inference experiments on CDK2 across billion-scale chemical libraries, where Tensor-DTI produces chemically plausible hit distributions even when CDK2 is withheld from training. In enrichment studies against Glide docking and Boltz-2 co-folder, Tensor-DTI remains competitive on CDK2 and improves the screening budget required to recover moderate fractions of high-affinity ligands on out-of-family targets under strict family-holdout splits. Additionally, we explore its applicability to protein-RNA and peptide-protein interactions. Our findings highlight the benefits of integrating multimodal information with contrastive objectives to enhance interaction-prediction accuracy and to provide more interpretable and reliability-aware models for virtual screening.","['cs.LG', 'cs.AI', 'q-bio.BM']",2026-01-09T13:39:49+00:00,https://arxiv.org/pdf/2601.05792v1,arxiv://2601.05792v1,3,15
2511.05904v1,The Role and Mechanism of Deep Statistical Machine Learning In Biological Target Screening and Immune Microenvironment Regulation of Asthma,['Pengwei Zhu'],"As an important source of small molecule drugs, natural products show remarkable biological activities with their rich types and unique structures. However, due to the limited number of samples and structural complexity, the rapid discovery of lead compounds is limited. Therefore, in this study, natural inhibitors of phosphodiesterase 4 (PDE4) and Phosphodiesterase 7 (PDE7) were screened by combining computer aided drug design (CADD) technology and deep learning method, and their activities were verified by enzyme activity experiment and enzymo-linked immunoassay. These two enzymes have important application potential in the treatment of inflammatory diseases such as chronic obstructive pulmonary disease and asthma, but PDE4 inhibitors may cause adverse reactions, so it is particularly important to develop both effective and safe dual-target inhibitors. In addition, as a potential target of hyperuricemia, the development of natural inhibitors of xanthine oxidase (X0) is also of great value. We used pharmacophore technology for virtual screening, combined with molecular docking technology to improve accuracy, and finally selected 16 potential natural inhibitors of PDE4/7, and verified their binding stability through molecular dynamics simulation. The results of this study laid a foundation for establishing an efficient dual-target inhibitor screening system and exploring the lead compounds of novel X0 inhibitors.","['cs.SI', 'physics.chem-ph']",2025-11-08T08:09:11+00:00,https://arxiv.org/pdf/2511.05904v1,arxiv://2511.05904v1,4,15
2510.24186v2,TRIDS: AI-native molecular docking framework for accelerating high-throughput virtual screening with physically valid binding poses,"['Xuhan Liu', 'Baohua Zhang', 'Yue Xue', 'Yize Hao', 'Tiejun Bing', 'Lili Chai', 'Tanfeng Zhao', 'Lijiang Yang', 'Hong Zhang', 'Yi Qin Gao']","Molecular docking is a cornerstone of drug discovery for unveiling the mechanism of ligand-receptor interactions. With the recent advances of deep learning (DL), AI-powered molecular docking methods have achieved higher accuracy for binding pose prediction and virtual screening compared with classical physics-based methods. However, there is still a scarcity of approaches to strike a balance among accuracy, computational efficiency, and rigorous physical validity of the output conformations. In the previous two versions of DSDP, we demonstrated the effectiveness of guiding conformation sampling with the gradient of an analytic scoring function. As the third version, TRIDS was devised as an AI-native docking framework that expand the similar strategy to unify conformation sampling and docking processes with DL-based model for improving accuracy of docking and screening. Furthermore, it is tailored for seamless cooperation of AI and physics to guarantee the physical validity of predicted binding poses. Being user-friendly, TRIDS predicts the binding site, parses multiple file formats, and supports Python programming and PyMOL graphical interaction. It improves docking accuracy and passes physical validation with high computational efficiency, i.e. a single docking task is done in a fraction of second while maintaining a highly lightweight GPU memory footprint of merely hundreds of megabytes, facilitating high-throughput virtual screening in reality. As a proof of concept, TRIDS allowed us to obtain hit compounds with novel scaffolds for tumor necrosis factor-alpha (TNFα) inhibitor through a large-scale virtual screening.","['physics.chem-ph', 'physics.comp-ph']",2025-10-28T08:46:21+00:00,https://arxiv.org/pdf/2510.24186v2,arxiv://2510.24186v2,5,15
2508.17555v1,Boltzina: Efficient and Accurate Virtual Screening via Docking-Guided Binding Prediction with Boltz-2,"['Kairi Furui', 'Masahito Ohue']","In structure-based drug discovery, virtual screening using conventional molecular docking methods can be performed rapidly but suffers from limitations in prediction accuracy. Recently, Boltz-2 was proposed, achieving extremely high accuracy in binding affinity prediction, but requiring approximately 20 seconds per compound per GPU, making it difficult to apply to large-scale screening of hundreds of thousands to millions of compounds. This study proposes Boltzina, a novel framework that leverages Boltz-2's high accuracy while significantly improving computational efficiency. Boltzina achieves both accuracy and speed by omitting the rate-limiting structure prediction from Boltz-2's architecture and directly predicting affinity from AutoDock Vina docking poses. We evaluate on eight assays from the MF-PCBA dataset and show that while Boltzina performs below Boltz-2, it provides significantly higher screening performance compared to AutoDock Vina and GNINA. Additionally, Boltzina achieved up to 11.8$\times$ faster through reduced recycling iterations and batch processing. Furthermore, we investigated multi-pose selection strategies and two-stage screening combining Boltzina and Boltz-2, presenting optimization methods for accuracy and efficiency according to application requirements. This study represents the first attempt to apply Boltz-2's high-accuracy predictions to practical-scale screening, offering a pipeline that combines both accuracy and efficiency in computational biology. The Boltzina is available on github; https://github.com/ohuelab/boltzina.","['q-bio.BM', 'cs.CE', 'cs.LG', 'q-bio.QM']",2025-08-24T23:40:10+00:00,https://arxiv.org/pdf/2508.17555v1,arxiv://2508.17555v1,6,15
2509.05302v1,Sesame: Opening the door to protein pockets,"['Raúl Miñán', 'Carles Perez-Lopez', 'Javier Iglesias', 'Álvaro Ciudad', 'Alexis Molina']","Molecular docking is a cornerstone of drug discovery, relying on high-resolution ligand-bound structures to achieve accurate predictions. However, obtaining these structures is often costly and time-intensive, limiting their availability. In contrast, ligand-free structures are more accessible but suffer from reduced docking performance due to pocket geometries being less suited for ligand accommodation in apo structures. Traditional methods for artificially inducing these conformations, such as molecular dynamics simulations, are computationally expensive. In this work, we introduce Sesame, a generative model designed to predict this conformational change efficiently. By generating geometries better suited for ligand accommodation at a fraction of the computational cost, Sesame aims to provide a scalable solution for improving virtual screening workflows.","['q-bio.BM', 'cs.AI']",2025-08-21T12:22:56+00:00,https://arxiv.org/pdf/2509.05302v1,arxiv://2509.05302v1,7,15
2508.10262v2,HelixVS: Deep Learning-Enhanced Structure-Based Platform for Screening and Design,"['Shanzhuo Zhang', 'Xianbin Ye', 'Donglong He', 'Yueyang Huang', 'Xiaonan Zhang', 'Xiaomin Fang']","Drug discovery through virtual screening (VS) has become a popular strategy for identifying hits against protein targets. Alongside VS, molecular design further expands accessible chemical space. Together, these approaches have the potential to reduce the cost and time needed for manual selection and wet-laboratory experiments, thereby accelerating drug discovery pipelines. Improving the cost-effectiveness of virtual screening is a significant challenge, aiming to explore larger compound libraries while maintaining lower screening costs. Here, we present HelixVS, a structure-based VS platform enhanced by deep learning models. HelixVS integrates a precise deep learning-based pose-scoring model and a pose-screening module into a multi-stage VS process, enabling more effective screening of active compounds. Compared to classic molecular docking tools like Vina, HelixVS demonstrated significantly improved screening performance across nearly a hundred targets, achieving an average 2.6-fold higher enrichment factor (EF) and more than 10 times faster screening speed. We applied HelixVS in four drug development pipelines, targeting both traditional competitive drug-binding pockets and novel protein-protein interaction interfaces. Wet-lab validations across these pipelines consistently identified active compounds, with over 10% of the molecules tested in wet labs demonstrating activity at uM or even nM levels. This demonstrates the ability of HelixVS to identify high-affinity ligands for various targets and pockets.In addition, the HelixVS platform has been extended with HelixVS-Syn, which enables design of novel compounds from reference scaffolds. These designed molecules are seamlessly integrated into the HelixVS screening workflow, allowing researchers to explore both existing chemical libraries and novel chemical space with high affinity, synthetic accessibility, and structural novelty.","['q-bio.BM', 'q-bio.QM']",2025-08-14T01:08:30+00:00,https://arxiv.org/pdf/2508.10262v2,arxiv://2508.10262v2,8,15
2508.01799v2,Contrastive Multi-Task Learning with Solvent-Aware Augmentation for Drug Discovery,"['Jing Lan', 'Hexiao Ding', 'Hongzhao Chen', 'Yufeng Jiang', 'Nga-Chun Ng', 'Gerald W. Y. Cheng', 'Zongxi Li', 'Jing Cai', 'Liang-ting Lin', 'Jung Sun Yoo']","Accurate prediction of protein-ligand interactions is essential for computer-aided drug discovery. However, existing methods often fail to capture solvent-dependent conformational changes and lack the ability to jointly learn multiple related tasks. To address these limitations, we introduce a pre-training method that incorporates ligand conformational ensembles generated under diverse solvent conditions as augmented input. This design enables the model to learn both structural flexibility and environmental context in a unified manner. The training process integrates molecular reconstruction to capture local geometry, interatomic distance prediction to model spatial relationships, and contrastive learning to build solvent-invariant molecular representations. Together, these components lead to significant improvements, including a 3.7% gain in binding affinity prediction, an 82% success rate on the PoseBusters Astex docking benchmarks, and an area under the curve of 97.1% in virtual screening. The framework supports solvent-aware, multi-task modeling and produces consistent results across benchmarks. A case study further demonstrates sub-angstrom docking accuracy with a root-mean-square deviation of 0.157 angstroms, offering atomic-level insight into binding mechanisms and advancing structure-based drug design.","['q-bio.BM', 'cs.AI', 'cs.LG']",2025-08-03T15:25:42+00:00,https://arxiv.org/pdf/2508.01799v2,arxiv://2508.01799v2,9,15
2507.09658v1,Leveraging Conformational Diversity for Enhanced Structure-Based Virtual Screening: Insights from Molecular Dynamics Simulations of HIV-1 Protease-Ligand Complexes,['Pei-Kun Yang'],"Structure-based virtual screening aims to identify high-affinity ligands by estimating binding free energies between proteins and small molecules. However, the conformational flexibility of both proteins and ligands challenges conventional rigid docking methods that assume a fixed receptor structure. In this study, we examined the impact of conformational diversity on binding energy calculations using 79 HIV-1 protease-ligand complexes. Molecular dynamics simulations were employed to generate structural ensembles for both proteins and ligands in aqueous environments. RMSD-based clustering was applied to reduce redundancy while preserving structural diversity. Binding energies were computed using van der Waals and electrostatic interactions. The results demonstrated that native protein-ligand pairs consistently yielded favorable binding energies, whereas non-native pairings often failed to reproduce binding. Furthermore, clustering thresholds influenced the balance between computational cost and interaction accuracy. These findings underscore the importance of incorporating multiple protein and ligand conformations in SBVS protocols to improve prediction reliability and support more effective drug discovery strategies.",['q-bio.BM'],2025-07-13T14:45:25+00:00,https://arxiv.org/pdf/2507.09658v1,arxiv://2507.09658v1,10,15
