cid,smiles,name,mw,logp,tpsa,hbd,hba,qed,lipinski_pass,veber_pass,pains_hit
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
38,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","",194,1,112.46,6,6,0.423,0,1,0
